seed,arm,lambda_1,validation_nll_final
1018,A2,0.001,0.6616870734714732
1018,A2,0.01,0.6616866245355038
1019,A1,0.0001,0.5852270945396241
1019,A1,0.001,0.5852270480908134
1019,A1,0.01,0.5852265958385432
1019,A2,0.0001,0.5800960280135009
1019,A2,0.001,0.5800959825424434
1019,A2,0.01,0.5800955412922842
1020,A1,0.0001,0.7392926088102367
1020,A1,0.001,0.7392925804614524
1020,A1,0.01,0.7392923045353235
1020,A2,0.0001,0.7362622815521656
1020,A2,0.001,0.7362622524612829
1020,A2,0.01,0.73626196961301
1021,A1,0.0001,0.5348591487169267
1021,A1,0.001,0.5348590948794456
1021,A1,0.01,0.5348585734884206
1021,A2,0.0001,0.5275807846498688
1021,A2,0.001,0.5275807325070624
1021,A2,0.01,0.5275802276947795
1022,A1,0.0001,0.6187386585092067
1022,A1,0.001,0.6187386177097453
1022,A1,0.01,0.6187382277837532
1022,A2,0.0001,0.6202429322161076
1022,A2,0.001,0.6202428890389358
1022,A2,0.01,0.6202424743508899
1023,A1,0.0001,0.5468960423846493
1023,A1,0.001,0.5468960028935309
1023,A1,0.01,0.5468956257435138
1023,A2,0.0001,0.5581554555960947
1023,A2,0.001,0.5581553963622017
1023,A2,0.01,0.5581548304610758
1024,A1,0.0001,0.671566372859484
1024,A1,0.001,0.6715663429069656
1024,A1,0.01,0.671566052044305
1024,A2,0.0001,0.6725367627187449
1024,A2,0.001,0.6725367291387204
1024,A2,0.01,0.6725364033919954
1025,A1,0.0001,0.6481184647073849
1025,A1,0.001,0.6481184343377485
1025,A1,0.01,0.6481181403192581
1025,A2,0.0001,0.6534012169081842
1025,A2,0.001,0.6534011809305443
1025,A2,0.01,0.6534008329787266
1026,A1,0.0001,0.7129825798821529
1026,A1,0.001,0.7129825396396064
1026,A1,0.01,0.7129821456994638
1026,A2,0.0001,0.705968622741938
1026,A2,0.001,0.7059685800858823
1026,A2,0.01,0.7059681644038704
1027,A1,0.0001,0.5896371989964364
1027,A1,0.001,0.5896371472495828
1027,A1,0.01,0.5896366505218679
1027,A2,0.0001,0.5857422568181029
1027,A2,0.001,0.5857422162840122
1027,A2,0.01,0.5857418251058693
1028,A1,0.0001,0.5739249787154344
1028,A1,0.001,0.5739249316473963
1028,A1,0.01,0.5739244754802563
1028,A2,0.0001,0.5800576252946826
1028,A2,0.001,0.5800575655195375
1028,A2,0.01,0.5800569876309886
1029,A1,0.0001,0.6399928894876367
1029,A1,0.001,0.6399928548876023
1029,A1,0.01,0.6399925246145698
1029,A2,0.0001,0.6410044471456675
1029,A2,0.001,0.6410044174250819
1029,A2,0.01,0.641004129882767
1030,A1,0.0001,0.6561271395282544
1030,A1,0.001,0.6561271031175037
1030,A1,0.01,0.6561267557230315
1030,A2,0.0001,0.6586920538960145
1030,A2,0.001,0.6586920230044568
1030,A2,0.01,0.6586917244609778
1031,A1,0.0001,0.5614826470859972
1031,A1,0.001,0.561482602346264
1031,A1,0.01,0.5614821699469201
1031,A2,0.0001,0.5728468936218429
1031,A2,0.001,0.57284683184425
1031,A2,0.01,0.5728462382659691
1032,A1,0.0001,0.6596110153661852
1032,A1,0.001,0.6596109780189723
1032,A1,0.01,0.6596106142234377
1032,A2,0.0001,0.6593804800627926
1032,A2,0.001,0.6593804392875574
1032,A2,0.01,0.6593800431865959
1033,A1,0.0001,0.6593692192920195
1033,A1,0.001,0.6593691837668212
1033,A1,0.01,0.6593688403158509
1033,A2,0.0001,0.6644002998612819
1033,A2,0.001,0.6644002616235265
1033,A2,0.01,0.6643998911763864
1034,A1,0.0001,0.6238028120188255
1034,A1,0.001,0.62380277019468
1034,A1,0.01,0.6238023631633417
1034,A2,0.0001,0.6277053848349947
1034,A2,0.001,0.62770533280064
1034,A2,0.01,0.6277048290446658
1035,A1,0.0001,0.6193649662024064
1035,A1,0.001,0.6193649093969238
1035,A1,0.01,0.619364353787547
1035,A2,0.0001,0.6008202468954128
1035,A2,0.001,0.6008202042926818
1035,A2,0.01,0.6008197888223968
1036,A1,0.0001,0.7082677004157328
1036,A1,0.001,0.7082676698414011
1036,A1,0.01,0.7082673720452285
1036,A2,0.0001,0.7114982264882979
1036,A2,0.001,0.7114981898561864
1036,A2,0.01,0.7114978338080893
1037,A1,0.0001,0.6089762455333922
1037,A1,0.001,0.6089762104021478
1037,A1,0.01,0.6089758733325953
1037,A2,0.0001,0.618154093689976
1037,A2,0.001,0.6181540473187911
1037,A2,0.01,0.6181536035907749
1038,A1,0.0001,0.5871342699440113
1038,A1,0.001,0.5871342146425405
1038,A1,0.01,0.5871336797074969
1038,A2,0.0001,0.5842068855695762
1038,A2,0.001,0.584206838370117
1038,A2,0.01,0.5842063807391766
1039,A1,0.0001,0.6319627896786117
1039,A1,0.001,0.6319627456270827
1039,A1,0.01,0.6319623158627279
1039,A2,0.0001,0.6226194321857451
1039,A2,0.001,0.6226193935746617
1039,A2,0.01,0.6226190179127761
1040,A1,0.0001,0.7867679770059508
1040,A1,0.001,0.7867679463085687
1040,A1,0.01,0.7867676485868287
1040,A2,0.0001,0.7899730722552941
