seed,arm,lambda_1,cfhm_taus,b3_taus,cfhm_mean_tau,b3_mean_tau,cfhm_gate,b3_gate
1010,A1,0.01,"[0.21376884422110554, 0.07587939698492462, 0.10753768844221105, 0.16261306532663317, 0.10984924623115577, 0.10723618090452261, 0.1335678391959799, 0.10241206030150753, 0.04954773869346733, 0.13366834170854272]","[0.09949748743718592, 0.1164824120603015, -0.01597989949748744, 0.1051256281407035, 0.07748743718592964, 0.08130653266331658, 0.12542713567839195, 0.11487437185929647, 0.0128643216080402, 0.09758793969849246]",0.119608040201005,0.081467336683417,False,False
1010,A2,0.01,"[0.20391959798994974, 0.05236180904522613, 0.1678391959798995, 0.06170854271356784, 0.09306532663316583, 0.10914572864321608, 0.10241206030150753, 0.1121608040201005, 0.07386934673366834, 0.06402010050251256]","[-0.002010050251256281, -0.044924623115577884, 0.09316582914572863, 0.07698492462311558, -0.0033165829145728643, -0.030552763819095472, -0.001909547738693467, 0.05758793969849246, 0.03758793969849246, -0.018693467336683416]",0.1040502512562814,0.0163919597989949,False,False
1011,A1,0.01,"[0.37567839195979896, 0.2685427135678392, 0.34854271356783917, 0.3366834170854271, 0.2607035175879397, 0.35708542713567837, 0.32422110552763816, 0.2971859296482412, 0.32170854271356786, 0.13889447236180902]","[0.4903517587939698, 0.4923618090452261, 0.501608040201005, 0.48050251256281407, 0.5111557788944723, 0.465427135678392, 0.496180904522613, 0.4171859296482412, 0.5044221105527638, 0.5149748743718592]",0.3029246231155779,0.4874170854271355,False,False
1011,A2,0.01,"[0.09447236180904522, 0.20944723618090452, 0.305929648241206, 0.13376884422110552, 0.09949748743718592, 0.15989949748743718, 0.24542713567839197, 0.22914572864321608, 0.18291457286432158, 0.21447236180904522]","[0.3882412060301507, 0.41135678391959796, 0.43417085427135677, 0.39839195979899494, 0.384824120603015, 0.4453266331658291, 0.43266331658291457, 0.425929648241206, 0.385929648241206, 0.3850251256281407]",0.1874974874371859,0.4091859296482412,False,False
1012,A1,0.01,"[0.10633165829145728, -0.007437185929648241, -0.05487437185929648, -0.010552763819095477, 0.027839195979899495, -0.001608040201005025, 0.058391959798994975, 0.07597989949748743, 0.11427135678391959, 0.024824120603015074]","[0.2821105527638191, 0.0128643216080402, 0.02894472361809045, 0.18030150753768845, 0.1894472361809045, 0.15135678391959798, 0.1029145728643216, 0.13376884422110552, 0.21909547738693466, 0.22211055276381908]",0.0333165829145728,0.1522914572864321,False,False
1012,A2,0.01,"[0.030050251256281406, 0.0636180904522613, 0.0026130653266331653, -0.048341708542713566, 0.1651256281407035, 0.06834170854271356, 0.07035175879396985, 0.006532663316582914, 0.14090452261306532, -0.0025125628140703514]","[0.11879396984924623, 0.14120603015075375, 0.16984924623115577, 0.10130653266331657, 0.04824120603015075, 0.07316582914572864, 0.1514572864321608, 0.0864321608040201, 0.010954773869346733, 0.018693467336683416]",0.0496683417085427,0.0920100502512562,False,False
1013,A1,0.01,"[0.1349748743718593, 0.22492462311557787, 0.15889447236180904, 0.14261306532663315, 0.15407035175879397, 0.02150753768844221, 0.1664321608040201, 0.2209045226130653, 0.16140703517587937, 0.05175879396984925]","[0.08462311557788944, 0.002914572864321608, 0.06351758793969849, 0.09175879396984923, -0.043417085427135675, 0.03608040201005025, 0.061306532663316586, 0.03376884422110553, 0.017386934673366834, 0.08914572864321607]",0.1437487437185929,0.0437085427135678,False,False
1013,A2,0.01,"[0.11125628140703517, 0.1537688442211055, 0.0964824120603015, 0.12743718592964823, 0.16170854271356783, 0.18452261306532663, 0.1186934673366834, 0.09567839195979898, 0.1593969849246231, 0.13628140703517588]","[0.047336683417085426, 0.024120603015075376, 0.09396984924623115, 0.08261306532663316, 0.05276381909547738, 0.0685427135678392, 0.0578894472361809, 0.1379899497487437, 0.09055276381909547, 0.00793969849246231]",0.1345226130653266,0.0663718592964824,False,False
1014,A1,0.01,"[0.15889447236180904, 0.15809045226130652, -0.02824120603015075, 0.13105527638190953, 0.09437185929648241, 0.15035175879396984, 0.18462311557788944, 0.013065326633165827, 0.15497487437185928, 0.2002010050251256]","[0.3007035175879397, 0.24190954773869341, 0.22964824120603014, 0.3098492462311558, 0.23407035175879395, 0.27628140703517584, 0.22552763819095475, 0.20673366834170853, 0.24683417085427137, 0.225929648241206]",0.1217386934673366,0.2497487437185929,False,False
1014,A2,0.01,"[0.12623115577889446, -0.006130653266331658, 0.04321608040201005, -0.09597989949748743, 0.09296482412060302, -0.020804020100502512, 0.1292462311557789, 0.04713567839195979, 0.09467336683417085, -0.03366834170854271]","[0.3395979899497487, 0.34763819095477383, 0.39859296482412054, 0.40261306532663316, 0.4084422110552764, 0.33015075376884423, 0.3532663316582914, 0.36743718592964825, 0.3796984924623115, 0.4586934673366834]",0.0376884422110552,0.3786130653266332,False,False
