arm,auroc,calibration_path,lambda_1,method,precision_at_10,precision_at_25,seed,selected_gamma,selected_kappa,status,train_rate
A2,0.4570070276973956,gamma-bisection,0.01,B2_age_x_popularity,0.7,0.6,1011,-4.20263671875,1.0,ELIGIBLE,0.04
A2,0.7450392724266226,gamma-bisection,0.01,B3_fragility_only,1.0,1.0,1011,-4.20263671875,1.0,ELIGIBLE,0.04
A2,0.5694501860272839,gamma-bisection,0.01,B4_CFHM,0.9,0.88,1011,-4.20263671875,1.0,ELIGIBLE,0.04
A1,0.5705169455169455,gamma-bisection,0.01,B1_in_degree,0.8,0.72,1012,-3.8642578125,1.0,ELIGIBLE,0.03985576923076923
A1,0.44766194766194756,gamma-bisection,0.01,B2_age_x_popularity,0.9,0.64,1012,-3.8642578125,1.0,ELIGIBLE,0.03985576923076923
A1,0.7596525096525096,gamma-bisection,0.01,B3_fragility_only,0.9,0.88,1012,-3.8642578125,1.0,ELIGIBLE,0.03985576923076923
A1,0.46782496782496785,gamma-bisection,0.01,B4_CFHM,0.7,0.68,1012,-3.8642578125,1.0,ELIGIBLE,0.03985576923076923
A2,0.5106732348111658,gamma-bisection,0.01,B1_in_degree,0.5,0.6,1012,-3.8984375,1.0,ELIGIBLE,0.04
A2,0.43257389162561577,gamma-bisection,0.01,B2_age_x_popularity,0.2,0.52,1012,-3.8984375,1.0,ELIGIBLE,0.04
A2,0.7279351395730707,gamma-bisection,0.01,B3_fragility_only,0.8,0.84,1012,-3.8984375,1.0,ELIGIBLE,0.04
A2,0.49199507389162567,gamma-bisection,0.01,B4_CFHM,0.8,0.64,1012,-3.8984375,1.0,ELIGIBLE,0.04
A1,0.45455005567365125,gamma-bisection,0.01,B1_in_degree,0.2,0.44,1013,-4.03857421875,1.0,ELIGIBLE,0.04004807692307692
A1,0.32402064986334655,gamma-bisection,0.01,B2_age_x_popularity,0.1,0.24,1013,-4.03857421875,1.0,ELIGIBLE,0.04004807692307692
A1,0.7861119546512805,gamma-bisection,0.01,B3_fragility_only,0.9,0.96,1013,-4.03857421875,1.0,ELIGIBLE,0.04004807692307692
A1,0.6542160137665756,gamma-bisection,0.01,B4_CFHM,0.7,0.68,1013,-4.03857421875,1.0,ELIGIBLE,0.04004807692307692
A2,0.49407887962104835,gamma-bisection,0.01,B1_in_degree,0.8,0.56,1013,-4.16845703125,1.0,ELIGIBLE,0.03995192307692308
A2,0.38801359283286996,gamma-bisection,0.01,B2_age_x_popularity,0.4,0.56,1013,-4.16845703125,1.0,ELIGIBLE,0.03995192307692308
A2,0.669858922870971,gamma-bisection,0.01,B3_fragility_only,0.8,0.84,1013,-4.16845703125,1.0,ELIGIBLE,0.03995192307692308
A2,0.6374214807949747,gamma-bisection,0.01,B4_CFHM,0.8,0.72,1013,-4.16845703125,1.0,ELIGIBLE,0.03995192307692308
A1,0.7334912793628391,gamma-bisection,0.01,B1_in_degree,1.0,0.84,1014,-4.03173828125,1.0,ELIGIBLE,0.04
A1,0.5404778707531002,gamma-bisection,0.01,B2_age_x_popularity,0.3,0.52,1014,-4.03173828125,1.0,ELIGIBLE,0.04
A1,0.8755922976106463,gamma-bisection,0.01,B3_fragility_only,1.0,1.0,1014,-4.03173828125,1.0,ELIGIBLE,0.04
A1,0.5363443895553988,gamma-bisection,0.01,B4_CFHM,0.6,0.52,1014,-4.03173828125,1.0,ELIGIBLE,0.04
A2,0.6885254101640657,gamma-bisection,0.01,B1_in_degree,0.9,0.76,1014,-4.467529296875,1.0,ELIGIBLE,0.04
A2,0.4616846738695478,gamma-bisection,0.01,B2_age_x_popularity,0.3,0.4,1014,-4.467529296875,1.0,ELIGIBLE,0.04
A2,0.7573029211684674,gamma-bisection,0.01,B3_fragility_only,1.0,0.92,1014,-4.467529296875,1.0,ELIGIBLE,0.04
A2,0.4336734693877551,gamma-bisection,0.01,B4_CFHM,0.7,0.44,1014,-4.467529296875,1.0,ELIGIBLE,0.04
A1,0.473023585383136,gamma-bisection,0.01,B1_in_degree,0.3,0.44,1015,-4.101806640625,1.0,ELIGIBLE,0.04
A1,0.4605729324830448,gamma-bisection,0.01,B2_age_x_popularity,0.5,0.56,1015,-4.101806640625,1.0,ELIGIBLE,0.04
A1,0.8420892802915276,gamma-bisection,0.01,B3_fragility_only,1.0,1.0,1015,-4.101806640625,1.0,ELIGIBLE,0.04
A1,0.601275432736107,gamma-bisection,0.01,B4_CFHM,0.6,0.6,1015,-4.101806640625,1.0,ELIGIBLE,0.04
A2,0.4163131313131313,gamma-bisection,0.01,B1_in_degree,0.5,0.48,1015,-4.156494140625,1.0,ELIGIBLE,0.04
