seed,arm,variant,p_at_25,S_major,S_minor,S_advisory,spearman_rho
1024,A1,V-REFIT,0.68,0.01628315593218485,0.016283360320472253,0.016283378173931683,-0.9166666666666666
1024,A1,V-A0,0.68,,,,
1024,A1,V-ORAC,0.88,0.01738936385353812,0.017389511274932365,0.017389249145835724,0.10540925533894598
1024,A1,V-B3R,0.92,,,,
1024,A2,V-REFIT,0.6,0.016283560444961823,0.01628375799371546,0.01628389443603487,-0.8833333333333333
1024,A2,V-A0,0.56,,,,
1024,A2,V-ORAC,0.8,0.01735573906237385,0.017388165873837222,0.017390415325357678,-0.10540925533894598
1024,A2,V-B3R,0.92,,,,
1025,A1,V-REFIT,0.8,0.01628334371332414,0.01628398107741821,0.01628370968037117,-0.31666666666666665
1025,A1,V-A0,0.8,,,,
1025,A1,V-ORAC,1.0,0.017390883077158106,0.017950691722277656,0.017382374220450147,0.2635231383473649
1025,A1,V-B3R,0.92,,,,
1025,A2,V-REFIT,0.56,0.016283900763089356,0.01628422538189873,0.016283890318051435,-0.2833333333333333
1025,A2,V-A0,0.64,,,,
1025,A2,V-ORAC,0.88,0.017390257971841086,0.017946616693121652,0.01739072427727547,0.10540925533894598
1025,A2,V-B3R,0.88,,,,
1026,A1,V-REFIT,0.52,0.016285162345578256,0.016285400630105355,0.016285110727776917,-0.33333333333333337
1026,A1,V-A0,0.6,,,,
1026,A1,V-ORAC,0.84,0.01738538573602833,0.017950515075214495,0.017390342970287832,0.10540925533894598
1026,A1,V-B3R,0.96,,,,
1026,A2,V-REFIT,0.72,0.016285194163010885,0.01628545042356636,0.016285339968289035,-0.7166666666666667
1026,A2,V-A0,0.76,,,,
1026,A2,V-ORAC,0.96,0.01739018301848356,0.01739026170381801,0.017391109261665767,-0.05270462766947299
1026,A2,V-B3R,0.8,,,,
1027,A1,V-REFIT,0.92,0.01628809053279673,0.01628843792898159,0.016287893567819334,-0.45
1027,A1,V-A0,0.88,,,,
1027,A1,V-ORAC,1.0,0.01739012812969427,0.017947359119698265,0.017389126796665134,0.05270462766947299
1027,A1,V-B3R,0.96,,,,
1027,A2,V-REFIT,0.56,0.01628824463829853,0.01628868724821372,0.01628838596393333,-0.7999999999999999
1027,A2,V-A0,0.52,,,,
1027,A2,V-ORAC,0.92,0.016831325805433797,0.016832212622375546,0.01627980910099121,-0.3162277660168379
1027,A2,V-B3R,0.88,,,,
1028,A1,V-REFIT,1.0,0.016289849453577067,0.01628988562286273,0.01628977944080784,-0.45
1028,A1,V-A0,0.96,,,,
1028,A1,V-ORAC,1.0,0.017921190713215115,0.01795031886696351,0.017389872683382435,0.3162277660168379
1028,A1,V-B3R,1.0,,,,
1028,A2,V-REFIT,0.84,0.01628955277156157,0.016289966310120436,0.01628988986936857,-0.6833333333333333
1028,A2,V-A0,0.88,,,,
1028,A2,V-ORAC,0.88,0.016822743673544072,0.017390364152429793,0.01739004686924018,-0.21081851067789195
1028,A2,V-B3R,0.84,,,,
1029,A1,V-REFIT,0.48,0.016283214825869384,0.016283304486695446,0.016282461691780388,0.13333333333333333
1029,A1,V-A0,0.44,,,,
1029,A1,V-ORAC,1.0,0.017390553526933323,0.017950100506497577,0.017389861784496766,0.2635231383473649
1029,A1,V-B3R,1.0,,,,
1029,A2,V-REFIT,0.48,0.01628397716768206,0.01628386542442145,0.016283286082844548,0.06666666666666667
1029,A2,V-A0,0.48,,,,
1029,A2,V-ORAC,0.96,0.016830139593796638,0.017389855035383782,0.01730884492386137,-0.05270462766947299
1029,A2,V-B3R,0.96,,,,
1030,A1,V-REFIT,0.8,0.016283010327589824,0.01628315212783643,0.01628285222385368,-0.38333333333333336
1030,A1,V-A0,0.68,,,,
1030,A1,V-ORAC,0.96,0.017949876626037226,0.017950112332003974,0.017946427521383816,0.2635231383473649
1030,A1,V-B3R,1.0,,,,
1030,A2,V-REFIT,0.6,0.016283798280934035,0.016284166081310947,0.016284007692850416,-0.7333333333333334
1030,A2,V-A0,0.56,,,,
1030,A2,V-ORAC,0.96,0.01739031066487873,0.017368033162872075,0.01739030214135414,-0.05270462766947299
1030,A2,V-B3R,0.88,,,,
